Client,Category,Vendor,Product,Version,"CPE Match","Cve Id",NeedsFix,Note
Windows,Software,"Google LLC","Google Chrome",151.0.7922.138,cpe:2.3:a:google:chrome:151.0.7922.138:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-79090,"",""
Windows,Software,"Google LLC","Google Chrome",151.0.7922.139,cpe:2.3:a:google:chrome:151.0.7922.139:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-79090,"",""
Windows,Software,"Google LLC","Google Chrome",151.0.7922.140,cpe:2.3:a:google:chrome:151.0.7922.140:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-79090,"",""
Windows,Software,"Google LLC","Google Chrome",151.0.7922.170,cpe:2.3:a:google:chrome:151.0.7922.170:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-79090,"",""
Windows,Software,"Google LLC","Google Chrome",151.0.7922.172,cpe:2.3:a:google:chrome:151.0.7922.172:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-79090,"",""
Windows,Software,"Google LLC","Google Chrome",151.0.7922.173,cpe:2.3:a:google:chrome:151.0.7922.173:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-79090,"",""
Windows,Software,"Google LLC","Google Chrome",151.0.7922.174,cpe:2.3:a:google:chrome:151.0.7922.174:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-79090,"",""
Windows,Software,"Google LLC","Google Chrome",151.0.7922.175,cpe:2.3:a:google:chrome:151.0.7922.175:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-79090,"",""
Windows,Software,"Google LLC","Google Chrome",151.0.7922.176,cpe:2.3:a:google:chrome:151.0.7922.176:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-79090,"",""
Windows,Software,"Google LLC","Google Chrome",152.0.7977.64,cpe:2.3:a:google:chrome:152.0.7977.64:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-79090,"",""
Windows,Software,"ImageMagick Studio LLC","ImageMagick 7.1.2-26 Q16-HDRI (64-bit) (2026-06-21)",7.1.2.26,cpe:2.3:a:imagemagick:imagemagick:7.1.2.26:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-64685,"",""
Windows,Software,Intel,"Intel(R) Memory and Storage Tool",1.12.172,cpe:2.3:a:intel:memory_and_storage_tool:1.12.172:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2023-41090,"",""
Windows,Software,Intel,"Intel(R) Product Improvement Program",2.2.43,cpe:2.3:a:intel:computing_improvement_program:2.2.43:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2025-24299,"",""
Windows,Software,"Intel Corporation","Intel(R) Chipset Device Software",10.1.18838.8284,cpe:2.3:a:intel:chipset_device_software:10.1.18838.8284:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2023-28739,"",""
Windows,Hardware,"Intel Corporation","Intel(R) Connectivity Performance Suite",2.1123.214.2,cpe:2.3:a:intel:connectivity_performance_suite:2.1123.214.2:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-20772,✔,"Here is a concise summary for your note cell:  We identified a versioning discrepancy where our host extraction pulls the internal component version from file binaries, while the NVD API uses the overarching suite installer version for CPE matching, causing potential false positives or negatives. To resolve this, we need to adjust our client-side extraction to pull the `DisplayVersion` from the Windows Registry, which aligns more consistently with NVD formats. For edge cases where registry data still mismatches, we will need to build an internal normalization table in our ETL pipeline to explicitly map known component versions to their corresponding suite releases."
Windows,Hardware,"Intel Corporation","Intel(R) Connectivity Performance Suite",3.1023.1118.1,cpe:2.3:a:intel:connectivity_performance_suite:3.1023.1118.1:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-20772,✔,"Here is a concise summary for your note cell:  We identified a versioning discrepancy where our host extraction pulls the internal component version from file binaries, while the NVD API uses the overarching suite installer version for CPE matching, causing potential false positives or negatives. To resolve this, we need to adjust our client-side extraction to pull the `DisplayVersion` from the Windows Registry, which aligns more consistently with NVD formats. For edge cases where registry data still mismatches, we will need to build an internal normalization table in our ETL pipeline to explicitly map known component versions to their corresponding suite releases."
Windows,Hardware,"Intel Corporation","Intel(R) Connectivity Performance Suite",3.1023.830.1,cpe:2.3:a:intel:connectivity_performance_suite:3.1023.830.1:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-20772,✔,"Here is a concise summary for your note cell:  We identified a versioning discrepancy where our host extraction pulls the internal component version from file binaries, while the NVD API uses the overarching suite installer version for CPE matching, causing potential false positives or negatives. To resolve this, we need to adjust our client-side extraction to pull the `DisplayVersion` from the Windows Registry, which aligns more consistently with NVD formats. For edge cases where registry data still mismatches, we will need to build an internal normalization table in our ETL pipeline to explicitly map known component versions to their corresponding suite releases."
Windows,Hardware,"Intel Corporation","Intel(R) Connectivity Performance Suite",3.1024.122.1,cpe:2.3:a:intel:connectivity_performance_suite:3.1024.122.1:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-20772,✔,"Here is a concise summary for your note cell:  We identified a versioning discrepancy where our host extraction pulls the internal component version from file binaries, while the NVD API uses the overarching suite installer version for CPE matching, causing potential false positives or negatives. To resolve this, we need to adjust our client-side extraction to pull the `DisplayVersion` from the Windows Registry, which aligns more consistently with NVD formats. For edge cases where registry data still mismatches, we will need to build an internal normalization table in our ETL pipeline to explicitly map known component versions to their corresponding suite releases."
Windows,Hardware,"Intel Corporation","Intel(R) Connectivity Performance Suite",3.1024.606.10,cpe:2.3:a:intel:connectivity_performance_suite:3.1024.606.10:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-20772,✔,"Here is a concise summary for your note cell:  We identified a versioning discrepancy where our host extraction pulls the internal component version from file binaries, while the NVD API uses the overarching suite installer version for CPE matching, causing potential false positives or negatives. To resolve this, we need to adjust our client-side extraction to pull the `DisplayVersion` from the Windows Registry, which aligns more consistently with NVD formats. For edge cases where registry data still mismatches, we will need to build an internal normalization table in our ETL pipeline to explicitly map known component versions to their corresponding suite releases."
Windows,Hardware,"Intel Corporation","Intel(R) Connectivity Performance Suite",4.1024.909.3,cpe:2.3:a:intel:connectivity_performance_suite:4.1024.909.3:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-20772,✔,"Here is a concise summary for your note cell:  We identified a versioning discrepancy where our host extraction pulls the internal component version from file binaries, while the NVD API uses the overarching suite installer version for CPE matching, causing potential false positives or negatives. To resolve this, we need to adjust our client-side extraction to pull the `DisplayVersion` from the Windows Registry, which aligns more consistently with NVD formats. For edge cases where registry data still mismatches, we will need to build an internal normalization table in our ETL pipeline to explicitly map known component versions to their corresponding suite releases."
Windows,Hardware,"Intel(R) Corporation","Intel(R) HID Event Filter",2.2.2.1,cpe:2.3:a:intel:hid_event_filter_driver:2.2.2.1:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2023-38541,"",""
Windows,Software,"Jenkins Project","Jenkins 2.568.1",2.255.5681,cpe:2.3:a:jenkins:jenkins:2.255.5681:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2024-23897,"",""
Other,Software,Juniper,Junos,23.4R2-S5.5,cpe:2.3:o:juniper:junos:23.4:r2-s5.5:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-57023,"",""
Windows,Hardware,"Lenovo Ltd.","ThinkPad T580 System Firmware 1.44",1.44.0.0,cpe:2.3:o:lenovo:thinkpad_t580_firmware:1.44.0.0:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2019-19705,"",""
Windows,Software,"McAfee, LLC","WebAdvisor 由 McAfee 提供",4.1.2.111,cpe:2.3:a:mcafee:webadvisor:4.1.2.111:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2022-0815,"",""
Windows,Software,Microsoft,"OfficePLUS Agent",1.0.8.264615,cpe:2.3:a:microsoft:officeplus:1.0.8.264615:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2024-38084,"",""
Windows,Software,"Microsoft Corporation","Microsoft Edge",151.0.4129.101,cpe:2.3:a:microsoft:edge_chromium:151.0.4129.101:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-58616,"",""
Windows,Software,"Microsoft Corporation","Microsoft Edge",151.0.4129.107,cpe:2.3:a:microsoft:edge_chromium:151.0.4129.107:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-58616,"",""
Windows,Software,"Microsoft Corporation","Microsoft Edge",151.0.4129.59,cpe:2.3:a:microsoft:edge_chromium:151.0.4129.59:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-72970,"",""
Windows,Software,"Microsoft Corporation","Microsoft Edge",151.0.4129.72,cpe:2.3:a:microsoft:edge_chromium:151.0.4129.72:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-72970,"",""
Windows,Software,"Microsoft Corporation","Microsoft Edge",151.0.4129.78,cpe:2.3:a:microsoft:edge_chromium:151.0.4129.78:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-72970,"",""
Windows,Software,"Microsoft Corporation","Microsoft Edge",151.0.4129.86,cpe:2.3:a:microsoft:edge_chromium:151.0.4129.86:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-58616,"",""
Windows,Software,"Microsoft Corporation","Microsoft Edge",151.0.4129.93,cpe:2.3:a:microsoft:edge_chromium:151.0.4129.93:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-58616,"",""
Windows,Software,"Microsoft Corporation","Microsoft SQL Server 2012","",cpe:2.3:a:microsoft:sql_server:2012:-:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2023-21713,"",""
Windows,Software,"Microsoft Corporation","Microsoft Visual Studio Express 2015 for Windows 10 - ENU",14.0.23107.178,cpe:2.3:o:microsoft:windows_10:14.0.23107.178:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2021-21552,"",""
Windows,Software,"Microsoft Corporation","Microsoft Visual Studio Express 2015 for Windows 10 - 繁體中文",14.0.23107.178,cpe:2.3:o:microsoft:windows_10:14.0.23107.178:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2021-21552,"",""
"Other,Windows",Software,"Microsoft Corporation","Microsoft Visual Studio Tools for Applications 2017 x64 Hosting Support",15.0.27520,cpe:2.3:a:microsoft:visual_studio_2017:15.0.27520:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-47304,"",""
"Other,Windows",Software,"Microsoft Corporation","Microsoft Visual Studio Tools for Applications 2017 x86 Hosting Support",15.0.27520,cpe:2.3:a:microsoft:visual_studio_2017:15.0.27520:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-47304,"",""
Windows,Software,"Microsoft Corporation","Microsoft Visual Studio Tools for Applications 2019 x64 Hosting Support",16.0.35907,cpe:2.3:a:microsoft:visual_studio_2019:16.0.35907:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-47304,"",""
Windows,Software,"Microsoft Corporation","Microsoft Visual Studio Tools for Applications 2019 x86 Hosting Support",16.0.35907,cpe:2.3:a:microsoft:visual_studio_2019:16.0.35907:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-47304,"",""
Windows,Software,"Microsoft Corporation","Photos (Preview)",26.153.0809.0004,cpe:2.3:a:microsoft:photos:26.153.0809.0004:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2022-30168,"",""
Windows,Software,"Microsoft Corporation","Photos (Preview)",26.158.0816.0002,cpe:2.3:a:microsoft:photos:26.158.0816.0002:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2022-30168,"",""
Windows,Software,"Microsoft Corporation","Visual Studio Professional 2022","17.14.25 (January 2026)","cpe:2.3:a:microsoft:visual_studio_2022:17.14.25 (January 2026):*:*:*:*:-:*:*",https://nvd.nist.gov/vuln/detail/CVE-2026-47304,"",""
Windows,Software,"Microsoft Corporation","Visual Studio Professional 2022",17.14.35,cpe:2.3:a:microsoft:visual_studio_2022:17.14.35:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-47304,"",""
Windows,Software,"Microsoft Corporation","Visual Studio Professional 2022",17.14.37,cpe:2.3:a:microsoft:visual_studio_2022:17.14.37:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-70354,"",""
Windows,Software,"Microsoft Corporation","Visual Studio Professional 2026",18.8.0,cpe:2.3:a:microsoft:visual_studio_2026:18.8.0:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-70354,"",""
Windows,Software,"Microsoft Corporation","Visual Studio Professional 2026",18.8.1,cpe:2.3:a:microsoft:visual_studio_2026:18.8.1:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-70354,"",""
Windows,Software,"Microsoft Corporation","Visual Studio 生成工具 2022",17.14.37,cpe:2.3:a:microsoft:visual_studio_2022:17.14.37:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-70354,"",""
Windows,Software,"Microsoft Corporation","Windows Software Development Kit DirectX x64 Remote",8.100.25984,cpe:2.3:a:microsoft:windows_software_development_kit:8.100.25984:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2025-47962,"",""
Windows,Software,"Microsoft Corporation","Windows Software Development Kit DirectX x64 Remote",8.59.25584,cpe:2.3:a:microsoft:windows_software_development_kit:8.59.25584:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2025-47962,"",""
Windows,Software,"Microsoft Corporation","Windows Software Development Kit Redistributables",8.100.26936,cpe:2.3:a:microsoft:windows_software_development_kit:8.100.26936:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2025-47962,"",""
Windows,Software,"Microsoft Corporation","Windows Software Development Kit for Windows 8.1",8.100.26936,cpe:2.3:a:microsoft:windows_software_development_kit:8.100.26936:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2025-47962,"",""
Windows,Software,"Microsoft Corporation","Windows Subsystem for Linux",2.6.2.0,cpe:2.3:a:microsoft:windows_subsystem_for_linux:2.6.2.0:*:*:*:*:-:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-57968,"",""
Windows,Software,"Microsoft Corporation","Windows Subsystem for Linux",2.6.3.0,cpe:2.3:a:microsoft:windows_subsystem_for_linux:2.6.3.0:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-57968,"",""
Windows,Software,"Microsoft Corporation","Windows Subsystem for Linux",2.7.3.0,cpe:2.3:a:microsoft:windows_subsystem_for_linux:2.7.3.0:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-57968,"",""
Windows,Software,"Microsoft Corporation","Windows Subsystem for Linux",2.7.8.0,cpe:2.3:a:microsoft:windows_subsystem_for_linux:2.7.8.0:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-57973,"",""
Windows,Software,"Microsoft Corporations","Windows Software Development Kit EULA",8.100.25984,cpe:2.3:a:microsoft:windows_software_development_kit:8.100.25984:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2025-47962,"",""
Windows,Software,Mozilla,"Mozilla Firefox (x64 en-US)",141.0,cpe:2.3:a:mozilla:firefox:141.0:*:*:*:-:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-75874,"",""
Windows,Software,Mozilla,"Mozilla Firefox (x64 en-US)",153.0.1,cpe:2.3:a:mozilla:firefox:153.0.1:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-75874,"",""
Windows,Software,Mozilla,"Mozilla Firefox (x64 en-US)",153.0.4,cpe:2.3:a:mozilla:firefox:153.0.4:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-75874,"",""
Windows,Software,Mozilla,"Mozilla Firefox (x64 zh-TW)",153.0.1,cpe:2.3:a:mozilla:firefox:153.0.1:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-75874,"",""
Windows,Software,Mozilla,"Mozilla Firefox (x64 zh-TW)",153.0.3,cpe:2.3:a:mozilla:firefox:153.0.3:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-75874,"",""
Windows,Software,Mozilla,"Mozilla Firefox (x64 zh-TW)",153.0.4,cpe:2.3:a:mozilla:firefox:153.0.4:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-75874,"",""
Windows,Software,Mozilla,"Mozilla Thunderbird (x64 zh-CN)",153.0.3,cpe:2.3:a:mozilla:thunderbird:153.0.3:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-75874,"",""
Windows,Software,Mozilla,"Mozilla Thunderbird (x64 zh-TW)",153.0,cpe:2.3:a:mozilla:thunderbird:153.0:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-75874,"",""
Windows,Software,Mozilla,"Mozilla Thunderbird (x64 zh-TW)",153.0.1,cpe:2.3:a:mozilla:thunderbird:153.0.1:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-75874,"",""
Windows,Software,Mozilla,"Mozilla Thunderbird (x64 zh-TW)",153.0.2,cpe:2.3:a:mozilla:thunderbird:153.0.2:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-75874,"",""
Windows,Software,Mozilla,"Mozilla Thunderbird (x64 zh-TW)",153.0.3,cpe:2.3:a:mozilla:thunderbird:153.0.3:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-75874,"",""
Windows,Software,"NVIDIA Corporation","NVIDIA GeForce Experience Service",2.11.4.125,cpe:2.3:a:nvidia:geforce_experience:2.11.4.125:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2017-6250,"",""
Windows,Software,"Node.js Foundation",Node.js,22.22.0,cpe:2.3:a:nodejs:node.js:22.22.0:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-58043,"",""
Windows,Software,"Node.js Foundation",Node.js,24.13.0,cpe:2.3:a:nodejs:node.js:24.13.0:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-58043,"",""
Windows,Software,"Node.js Foundation",Node.js,24.14.0,cpe:2.3:a:nodejs:node.js:24.14.0:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-58043,"",""
Windows,Software,"Node.js Foundation",Node.js,24.14.1,cpe:2.3:a:nodejs:node.js:24.14.1:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-58043,"",""
Windows,Software,"Node.js Foundation",Node.js,24.15.0,cpe:2.3:a:nodejs:node.js:24.15.0:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-58043,"",""
Windows,Software,"Node.js Foundation",Node.js,24.18.0,cpe:2.3:a:nodejs:node.js:24.18.0:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-58043,"",""
Windows,Software,"Node.js Foundation",Node.js,25.4.0,cpe:2.3:a:nodejs:node.js:25.4.0:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-21710,"",""
Windows,Software,"Node.js Foundation",Node.js,25.5.0,cpe:2.3:a:nodejs:node.js:25.5.0:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-21710,"",""
Windows,Software,"Node.js Foundation",Node.js,25.6.1,cpe:2.3:a:nodejs:node.js:25.6.1:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-21710,"",""
Windows,Software,"Node.js Foundation",Node.js,25.8.0,cpe:2.3:a:nodejs:node.js:25.8.0:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-21710,"",""
Windows,Software,"Node.js Foundation",Node.js,25.8.1,cpe:2.3:a:nodejs:node.js:25.8.1:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-21710,"",""
Windows,Software,"Node.js Foundation",Node.js,26.1.0,cpe:2.3:a:nodejs:node.js:26.1.0:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-58043,"",""
Windows,Software,"Node.js Foundation",Node.js,26.2.0,cpe:2.3:a:nodejs:node.js:26.2.0:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-58043,"",""
Windows,Software,"Node.js Foundation",Node.js,26.4.0,cpe:2.3:a:nodejs:node.js:26.4.0:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-58043,"",""
Windows,Software,"OpenSSL Win64 Installer Team","OpenSSL 3.5.4 (64-bit)",3.5.4,cpe:2.3:a:openssl:openssl:3.5.4:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-31789,"",""
Windows,Software,"OpenVPN, Inc.","OpenVPN 2.6.11-I002 amd64",2.6.1102,cpe:2.3:a:openvpn:openvpn:2.6.1102:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-11604,"",""
Windows,Software,"OpenVPN, Inc.","OpenVPN 2.6.13-I002 amd64",2.6.1302,cpe:2.3:a:openvpn:openvpn:2.6.1302:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-11604,"",""
Windows,Software,"OpenVPN, Inc.","OpenVPN 2.6.8-I001 amd64",2.6.801,cpe:2.3:a:openvpn:openvpn:2.6.801:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-11604,"",""
Windows,Software,"OpenVPN, Inc.","OpenVPN 2.7.5-I001 amd64",2.7.501,cpe:2.3:a:openvpn:openvpn:2.7.501:*:*:*:community:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-11604,"",""
Windows,Software,"Oracle and/or its affiliates","Oracle VirtualBox 7.2.14",7.2.14,cpe:2.3:a:oracle:vm_virtualbox:7.2.14:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-71131,"",""
Windows,Software,"Overwolf Ltd.",Overwolf,0.309.0.14,cpe:2.3:a:overwolf:overwolf:0.309.0.14:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2024-7834,"",""
Windows,Software,Synology,"Synology Assistant (remove only)",7.0.6-50085,cpe:2.3:a:synology:assistant:7.0.6-50085:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-4793,"",""
Windows,Software,"The Wireshark developer community, https://www.wireshark.org","Wireshark 4.6.7 x64",4.6.7,cpe:2.3:a:wireshark:wireshark:4.6.7:-:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-76886,"",""
Windows,Software,"Trend Micro, Inc.","Cleaner One Pro 6.8.0",6.8.0,cpe:2.3:a:trendmicro:cleaner_one:6.8.0:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2025-53503,✔,""
Windows,Software,"Valve Corporation",Steam,2.10.91.91,cpe:2.3:a:valvesoftware:steam_client:2.10.91.91:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2021-30481,✔,"version 格式不同"
Windows,Software,"Windows 10 IoT Core","Windows 10 IoT Core Dashboard",1.0.1908.19003,cpe:2.3:o:microsoft:windows_10:1.0.1908.19003:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2023-21803,"",""
Windows,Software,"Zoom Communications, Inc.","Zoom Workplace","6.6.11 (23272)",cpe:2.3:a:zoom:workplace_desktop:6.6.11:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-53412,"",""
Windows,Software,hoppscotch,Hoppscotch,26.6.0,cpe:2.3:a:hoppscotch:hoppscotch:26.6.0:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-50160,"",""
