row,model,variant,out_file
6,CDG_gemini/gemini-3.1-pro-preview,devsecops_actionable,outputs\experiments\row_6__CDG_gemini_gemini-3.1-pro-preview__devsecops_actionable.json
7,CDG_gemini/gemini-3.1-flash-lite,criteria_defined,outputs\experiments\row_7__CDG_gemini_gemini-3.1-flash-lite__criteria_defined.json
7,CDG_gemini/gemini-3.1-flash-lite,mitigation_focused,outputs\experiments\row_7__CDG_gemini_gemini-3.1-flash-lite__mitigation_focused.json
7,CDG_gemini/gemini-3.1-flash-lite,cot_analytical,outputs\experiments\row_7__CDG_gemini_gemini-3.1-flash-lite__cot_analytical.json
7,CDG_gemini/gemini-3.1-flash-lite,devsecops_actionable,outputs\experiments\row_7__CDG_gemini_gemini-3.1-flash-lite__devsecops_actionable.json
7,CDG_gemini/gemini-3.5-flash,criteria_defined,outputs\experiments\row_7__CDG_gemini_gemini-3.5-flash__criteria_defined.json
7,CDG_gemini/gemini-3.5-flash,mitigation_focused,outputs\experiments\row_7__CDG_gemini_gemini-3.5-flash__mitigation_focused.json
7,CDG_gemini/gemini-3.5-flash,cot_analytical,outputs\experiments\row_7__CDG_gemini_gemini-3.5-flash__cot_analytical.json
7,CDG_gemini/gemini-3.5-flash,devsecops_actionable,outputs\experiments\row_7__CDG_gemini_gemini-3.5-flash__devsecops_actionable.json
7,CDG_gemini/gemini-3.1-pro-preview,criteria_defined,outputs\experiments\row_7__CDG_gemini_gemini-3.1-pro-preview__criteria_defined.json
7,CDG_gemini/gemini-3.1-pro-preview,mitigation_focused,outputs\experiments\row_7__CDG_gemini_gemini-3.1-pro-preview__mitigation_focused.json
7,CDG_gemini/gemini-3.1-pro-preview,cot_analytical,outputs\experiments\row_7__CDG_gemini_gemini-3.1-pro-preview__cot_analytical.json
7,CDG_gemini/gemini-3.1-pro-preview,devsecops_actionable,outputs\experiments\row_7__CDG_gemini_gemini-3.1-pro-preview__devsecops_actionable.json
8,CDG_gemini/gemini-3.1-flash-lite,criteria_defined,outputs\experiments\row_8__CDG_gemini_gemini-3.1-flash-lite__criteria_defined.json
8,CDG_gemini/gemini-3.1-flash-lite,mitigation_focused,outputs\experiments\row_8__CDG_gemini_gemini-3.1-flash-lite__mitigation_focused.json
8,CDG_gemini/gemini-3.1-flash-lite,cot_analytical,outputs\experiments\row_8__CDG_gemini_gemini-3.1-flash-lite__cot_analytical.json
8,CDG_gemini/gemini-3.1-flash-lite,devsecops_actionable,outputs\experiments\row_8__CDG_gemini_gemini-3.1-flash-lite__devsecops_actionable.json
8,CDG_gemini/gemini-3.5-flash,criteria_defined,outputs\experiments\row_8__CDG_gemini_gemini-3.5-flash__criteria_defined.json
8,CDG_gemini/gemini-3.5-flash,mitigation_focused,outputs\experiments\row_8__CDG_gemini_gemini-3.5-flash__mitigation_focused.json
8,CDG_gemini/gemini-3.5-flash,cot_analytical,outputs\experiments\row_8__CDG_gemini_gemini-3.5-flash__cot_analytical.json
8,CDG_gemini/gemini-3.5-flash,devsecops_actionable,outputs\experiments\row_8__CDG_gemini_gemini-3.5-flash__devsecops_actionable.json
8,CDG_gemini/gemini-3.1-pro-preview,criteria_defined,outputs\experiments\row_8__CDG_gemini_gemini-3.1-pro-preview__criteria_defined.json
8,CDG_gemini/gemini-3.1-pro-preview,mitigation_focused,outputs\experiments\row_8__CDG_gemini_gemini-3.1-pro-preview__mitigation_focused.json
8,CDG_gemini/gemini-3.1-pro-preview,cot_analytical,outputs\experiments\row_8__CDG_gemini_gemini-3.1-pro-preview__cot_analytical.json
8,CDG_gemini/gemini-3.1-pro-preview,devsecops_actionable,outputs\experiments\row_8__CDG_gemini_gemini-3.1-pro-preview__devsecops_actionable.json
9,CDG_gemini/gemini-3.1-flash-lite,criteria_defined,outputs\experiments\row_9__CDG_gemini_gemini-3.1-flash-lite__criteria_defined.json
9,CDG_gemini/gemini-3.1-flash-lite,mitigation_focused,outputs\experiments\row_9__CDG_gemini_gemini-3.1-flash-lite__mitigation_focused.json
9,CDG_gemini/gemini-3.1-flash-lite,cot_analytical,outputs\experiments\row_9__CDG_gemini_gemini-3.1-flash-lite__cot_analytical.json
9,CDG_gemini/gemini-3.1-flash-lite,devsecops_actionable,outputs\experiments\row_9__CDG_gemini_gemini-3.1-flash-lite__devsecops_actionable.json
9,CDG_gemini/gemini-3.5-flash,criteria_defined,outputs\experiments\row_9__CDG_gemini_gemini-3.5-flash__criteria_defined.json
9,CDG_gemini/gemini-3.5-flash,mitigation_focused,outputs\experiments\row_9__CDG_gemini_gemini-3.5-flash__mitigation_focused.json
9,CDG_gemini/gemini-3.5-flash,cot_analytical,outputs\experiments\row_9__CDG_gemini_gemini-3.5-flash__cot_analytical.json
9,CDG_gemini/gemini-3.5-flash,devsecops_actionable,outputs\experiments\row_9__CDG_gemini_gemini-3.5-flash__devsecops_actionable.json
9,CDG_gemini/gemini-3.1-pro-preview,criteria_defined,outputs\experiments\row_9__CDG_gemini_gemini-3.1-pro-preview__criteria_defined.json
9,CDG_gemini/gemini-3.1-pro-preview,mitigation_focused,outputs\experiments\row_9__CDG_gemini_gemini-3.1-pro-preview__mitigation_focused.json
9,CDG_gemini/gemini-3.1-pro-preview,cot_analytical,outputs\experiments\row_9__CDG_gemini_gemini-3.1-pro-preview__cot_analytical.json
9,CDG_gemini/gemini-3.1-pro-preview,devsecops_actionable,outputs\experiments\row_9__CDG_gemini_gemini-3.1-pro-preview__devsecops_actionable.json
10,CDG_gemini/gemini-3.1-flash-lite,criteria_defined,outputs\experiments\row_10__CDG_gemini_gemini-3.1-flash-lite__criteria_defined.json
10,CDG_gemini/gemini-3.1-flash-lite,mitigation_focused,outputs\experiments\row_10__CDG_gemini_gemini-3.1-flash-lite__mitigation_focused.json
10,CDG_gemini/gemini-3.1-flash-lite,cot_analytical,outputs\experiments\row_10__CDG_gemini_gemini-3.1-flash-lite__cot_analytical.json
10,CDG_gemini/gemini-3.1-flash-lite,devsecops_actionable,outputs\experiments\row_10__CDG_gemini_gemini-3.1-flash-lite__devsecops_actionable.json
10,CDG_gemini/gemini-3.5-flash,criteria_defined,outputs\experiments\row_10__CDG_gemini_gemini-3.5-flash__criteria_defined.json
10,CDG_gemini/gemini-3.5-flash,mitigation_focused,outputs\experiments\row_10__CDG_gemini_gemini-3.5-flash__mitigation_focused.json
10,CDG_gemini/gemini-3.5-flash,cot_analytical,outputs\experiments\row_10__CDG_gemini_gemini-3.5-flash__cot_analytical.json
10,CDG_gemini/gemini-3.5-flash,devsecops_actionable,outputs\experiments\row_10__CDG_gemini_gemini-3.5-flash__devsecops_actionable.json
10,CDG_gemini/gemini-3.1-pro-preview,criteria_defined,outputs\experiments\row_10__CDG_gemini_gemini-3.1-pro-preview__criteria_defined.json
10,CDG_gemini/gemini-3.1-pro-preview,mitigation_focused,outputs\experiments\row_10__CDG_gemini_gemini-3.1-pro-preview__mitigation_focused.json
10,CDG_gemini/gemini-3.1-pro-preview,cot_analytical,outputs\experiments\row_10__CDG_gemini_gemini-3.1-pro-preview__cot_analytical.json
10,CDG_gemini/gemini-3.1-pro-preview,devsecops_actionable,outputs\experiments\row_10__CDG_gemini_gemini-3.1-pro-preview__devsecops_actionable.json
